Prop_1,Prop_2,Prop_3,Prop_4,Prop_5,Prop_6,Prop_7,Prop_8,Prop_9
racer,sports_car,car_wheel,cab,go-kart,beach_wagon,convertible,amphibian,limousine
joystick,reflex_camera,bubble,combination_lock,car_mirror,hard_disc,sewing_machine,muzzle,lens_cap
joystick,power_drill,chain_saw,tractor,remote_control,Christmas_stocking,rule,jigsaw_puzzle,CD_player
joystick,screen,monitor,desktop_computer,television,remote_control,hand-held_computer,computer_keyboard,mouse
web_site,French_horn,cornet,iron,car_wheel,sewing_machine,cannon,tractor,sax
iron,plate_rack,hook,loupe,whistle,dial_telephone,can_opener,web_site,dumbbell
computer_keyboard,mouse,space_bar,desktop_computer,notebook,desk,laptop,modem,screen
remote_control,computer_keyboard,laptop,space_bar,hand-held_computer,cellular_telephone,mouse,joystick,modem
cassette,wallet,modem,hard_disc,iPod,binder,Polaroid_camera,pencil_box,carpenter's_kit
mouse,vacuum,mousetrap,bullet_train,car_wheel,long-horned_beetle,modem,cellular_telephone,cassette_player
mouse,cellular_telephone,rugby_ball,crash_helmet,remote_control,hand_blower,CD_player,knee_pad,pick
switch,web_site,mouse,ocarina,buckle,monitor,vending_machine,sewing_machine,mailbag
mouse,cellular_telephone,modem,radio,remote_control,pencil_sharpener,lighter,joystick,hook
mouse,wall_clock,remote_control,analog_clock,cellular_telephone,iron,switch,modem,clog
projector,buckle,crash_helmet,monitor,spotlight,loudspeaker,pencil_sharpener,electric_fan,pay-phone
mouse,cellular_telephone,clog,lighter,modem,remote_control,computer_keyboard,mousetrap,safety_pin
computer_keyboard,mouse,desktop_computer,laptop,screen,notebook,space_bar,monitor,joystick
mouse,punching_bag,cocktail_shaker,lighter,cellular_telephone,safety_pin,toaster,desktop_computer,mousetrap
packet,Band_Aid,sewing_machine,lotion,spatula,paintbrush,hand_blower,pick,ice_cream
computer_keyboard,abacus,laptop,mouse,space_bar,notebook,remote_control,grand_piano,typewriter_keyboard
punching_bag,croquet_ball,mouse,clog,microphone,hand_blower,Loafer,cocktail_shaker,maraca
computer_keyboard,mouse,remote_control,typewriter_keyboard,desktop_computer,space_bar,dial_telephone,joystick,hand-held_computer
mouse,computer_keyboard,laptop,Eskimo_dog,malamute,Siamese_cat,Siberian_husky,monitor,notebook
mouse,safety_pin,mousetrap,remote_control,necklace,clog,cellular_telephone,microphone,chain
monitor,screen,desktop_computer,television,scoreboard,web_site,laptop,notebook,computer_keyboard
wall_clock,pick,ashcan,safety_pin,mask,iPod,mouse,switch,gong
computer_keyboard,mouse,microphone,radio,lens_cap,space_bar,loupe,typewriter_keyboard,vacuum
desk,laptop,computer_keyboard,cellular_telephone,desktop_computer,hair_spray,vacuum,mouse,screen
cassette,tape_player,cassette_player,cellular_telephone,radio,iPod,packet,switch,joystick
toilet_seat,pay-phone,sewing_machine,shopping_basket,rocking_chair,cradle,shoe_shop,desk,toyshop
mouse,Band_Aid,buckle,rugby_ball,piggy_bank,purse,airship,safety_pin,lotion
electric_fan,joystick,projector,computer_keyboard,monitor,loupe,loudspeaker,laptop,CD_player
ping-pong_ball,mouse,pill_bottle,scale,carton,chain,soccer_ball,radio,cellular_telephone
soccer_ball,mouse,rugby_ball,crash_helmet,buckle,seat_belt,volleyball,toaster,knee_pad
mouse,desktop_computer,monitor,screen,computer_keyboard,notebook,joystick,remote_control,modem
clog,Band_Aid,pick,paddle,sandal,sock,mouse,buckle,sleeping_bag
web_site,book_jacket,screen,stopwatch,monitor,television,digital_clock,oscilloscope,menu
nematode,hook,combination_lock,knot,iron,sandal,buckle,safety_pin,padlock
mouse,iPod,desktop_computer,computer_keyboard,monitor,digital_clock,laptop,CD_player,notebook
dumbbell,microphone,mouse,bath_towel,iPod,chain,pillow,hook,switch
lens_cap,bathing_cap,modem,remote_control,projector,CD_player,mouse,joystick,paper_towel
hourglass,perfume,bucket,microphone,harp,spotlight,tripod,mailbag,backpack
envelope,web_site,binder,plastic_bag,packet,street_sign,paper_towel,cash_machine,modem
desktop_computer,monitor,desk,screen,mouse,computer_keyboard,notebook,home_theater,radio
sandal,combination_lock,mouse,computer_keyboard,remote_control,shoe_shop,iPod,modem,stethoscope
laptop,joystick,notebook,computer_keyboard,mouse,stage,desktop_computer,monitor,screen
fountain,web_site,church,bannister,comic_book,jigsaw_puzzle,spotlight,castle,chainlink_fence
home_theater,desktop_computer,monitor,screen,television,desk,entertainment_center,scoreboard,cinema
maraca,knee_pad,cowboy_hat,toilet_tissue,bath_towel,bonnet,gasmask,oxygen_mask,paper_towel
sandal,iron,barber_chair,knot,hook,whistle,dial_telephone,loupe,swing
web_site,comic_book,monitor,television,dishwasher,carton,remote_control,bannister,sax
